"Code","Name","Year-Of-Inclusion"
"AFG","Afghanistan",NA
"AGO","Angola",NA
"BGD","Bangladesh",NA
"BEN","Benin",NA
"BFA","Burkina Faso",NA
"BDI","Burundi",NA
"KHM","Cambodia",NA
"CAF","Central African Republic",NA
"TCD","Chad",NA
"COM","Comoros",NA
"COD","Democratic Republic of the Congo",NA
"DJI","Djibouti",NA
"ERI","Eritrea",NA
"ETH","Ethiopia",NA
"GMB","Gambia",NA
"GIN","Guinea",NA
"GNB","Guinea-Bissau",NA
"HTI","Haiti",NA
"KIR","Kiribati",NA
"LAO","Lao People’s Democratic Republic",NA
"LSO","Lesotho",NA
"LBR","Liberia",NA
"MDG","Madagascar",NA
"MWI","Malawi",NA
"MLI","Mali",NA
"MRT","Mauritania",NA
"MOZ","Mozambique",NA
"MMR","Myanmar",NA
"NPL","Nepal",NA
"NER","Niger",NA
"RWA","Rwanda",NA
"STP","Sao Tome and Principe",NA
"SEN","Senegal",NA
"SLE","Sierra Leone",NA
"SLB","Solomon Islands",NA
"SOM","Somalia",NA
"SSD","South Sudan",NA
"SDN","Sudan",NA
"TLS","Timor-Leste",NA
"TGO","Togo",NA
"TUV","Tuvalu",NA
"UGA","Uganda",NA
"TZA","United Republic of Tanzania",NA
"YEM","Yemen",NA
"ZMB","Zambia",NA
